Month,Judet Destinatar OPS,Categorie Cerc Livrare,Localitate Destinatar,Tip Trimitere,Colet eligibil locker,Nr Total AWB
01,Bistrita-Nasaud,Cerc 1,Nepos,Negre,Da,11
01,Constanta,Cerc 1,Neptun,Negre,Da,10
01,Timis,Cerc 3,Nerau,Negre,Da,8
01,Vrancea,Cerc 3,Nereju,Negre,Da,20
01,Vrancea,Cerc 3,Nereju Mic,Negre,Da,8
01,Neamt,Cerc 1,Netezi,Negre,Da,1
01,Sibiu,Cerc 3,Netus,Negre,Da,1
01,Arad,Cerc 1,Neudorf,Negre,Da,3
01,Prahova,Cerc 1,Nevesteasca,Negre,Da,2
01,Timis,Cerc 1,Nevrincea,Negre,Da,2
01,Nógrád,Resedinta,Nézsa,Negre,Da,1
01,Botosani,Cerc 1,Nichiteni,Negre,Da,8
01,Bacau,Cerc 1,Nicolae Balcescu,Negre,Da,55
01,Constanta,Cerc 1,Nicolae Balcescu,Negre,Da,54
01,Calarasi,Cerc 1,Nicolae Balcescu,Negre,Da,10
01,Tulcea,Cerc 3,Nicolae Balcescu,Negre,Da,6
01,Calarasi,Cerc 3,Nicolae Balcescu,Negre,Da,5
01,Valcea,Cerc 1,Nicolae Balcescu,Negre,Da,4
01,Mehedinti,Cerc 3,Nicolae Balcescu,Negre,Da,4
01,Teleorman,Cerc 3,Nicolae Balcescu,Negre,Da,3
01,Arad,Cerc 3,Nicolae Balcescu,Negre,Da,1
01,Olt,Cerc 1,Nicolae Titulescu,Negre,Da,6
01,Buzau,Cerc 3,Nicolesti,Negre,Da,4
01,Ialomita,Cerc 1,Nicolesti,Negre,Da,1
01,Valcea,Cerc 1,Nicolesti,Negre,Da,1
01,Caras-Severin,Cerc 3,Nicolint,Negre,Da,5
01,Galati,Cerc 3,Nicopole,Negre,Da,1
01,Galati,Cerc 3,Nicoresti,Negre,Da,11
01,Bacau,Cerc 3,Nicoresti,Negre,Da,3
01,Botosani,Cerc 1,Nicseni,Negre,Da,1
01,Cluj,Cerc 1,Nicula,Negre,Da,2
01,Dambovita,Cerc 1,Niculesti,Negre,Da,42
01,Buzau,Cerc 3,Niculesti,Negre,Da,2
01,Tulcea,Cerc 3,Niculitel,Negre,Da,39
01,Suceava,Cerc 3,Nigotesti,Negre,Da,2
01,Arges,Cerc 3,Nigrisoara,Negre,Da,2
01,Cluj,Cerc 1,Nima,Negre,Da,3
01,Mures,Cerc 3,Nima Raciului,Negre,Da,2
01,Bihor,Cerc 3,Nimaiesti,Negre,Da,4
01,Bistrita-Nasaud,Cerc 1,Nimigea de Jos,Negre,Da,9
01,Bistrita-Nasaud,Cerc 3,Nimigea de Sus,Negre,Da,2
01,Cluj,Cerc 1,Nires,Negre,Da,4
01,Buzau,Cerc 1,Niscov,Negre,Da,4
01,Constanta,Cerc 1,Nisipari,Negre,Da,9
01,Satu Mare,Cerc 1,Nisipeni,Negre,Da,5
01,Prahova,Cerc 1,Nisipoasa,Negre,Da,5
01,Neamt,Cerc 1,Nisiporesti,Negre,Da,10
01,Dolj,Cerc 3,Nisipuri,Negre,Da,1
01,Vrancea,Cerc 3,Nistoresti,Negre,Da,4
01,Constanta,Cerc 3,Nistoresti,Negre,Da,1
01,Maramures,Cerc 1,Nistru,Negre,Da,2
01,Timis,Cerc 1,Nitchidorf,Negre,Da,9
01,Bihor,Cerc 1,Niuved,Negre,Da,1
01,Arges,Cerc 1,Noaptes,Negre,Da,1
01,Mehedinti,Cerc 3,Noaptesa,Negre,Da,2
01,Sibiu,Cerc 3,Nocrich,Negre,Da,5
01,Nógrád,Resedinta,Nógrádmarcal,Negre,Da,1
01,Sibiu,Cerc 3,Noistat,Negre,Da,2
01,Hunedoara,Cerc 1,Nojag,Negre,Da,1
01,Bihor,Cerc 1,Nojorid,Negre,Da,129
01,Satu Mare,Cerc 1,Noroieni,Negre,Da,1
01,Alba,Cerc 3,Noslac,Negre,Da,1
01,Salaj,Cerc 3,Notig,Negre,Da,2
01,Nógrád,Resedinta,Notincs,Negre,Da,1
01,Sibiu,Cerc 1,Nou,Negre,Da,5
01,Sibiu,Cerc 3,Nou Roman,Negre,Da,4
01,Sibiu,Cerc 3,Nou Sasesc,Negre,Da,1
01,Prahova,Cerc 1,Novacesti,Negre,Da,5
01,Gorj,Cerc 1,Novaci,Negre,Da,113
01,Giurgiu,Cerc 1,Novaci,Negre,Da,6
01,Dambovita,Cerc 1,Nucet,Negre,Da,14
01,Bihor,Cerc 3,Nucet,Negre,Da,9
01,Sibiu,Cerc 1,Nucet,Negre,Da,1
01,Calarasi,Cerc 1,Nucetu,Negre,Da,5
01,Gorj,Cerc 3,Nucetu,Negre,Da,1
01,Bucuresti & Ilfov,Cerc 1,Nuci,Negre,Da,10
01,Calarasi,Cerc 1,Nuci,Negre,Da,2
01,Arges,Cerc 3,Nucsoara,Negre,Da,4
01,Hunedoara,Cerc 3,Nucsoara,Negre,Da,1
01,Prahova,Cerc 3,Nucsoara de Jos,Negre,Da,5
01,Prahova,Cerc 3,Nucsoara de Sus,Negre,Da,4
01,Tulcea,Cerc 1,Nufaru,Negre,Da,2
01,Constanta,Cerc 3,Nuntasi,Negre,Da,11
01,Bistrita-Nasaud,Cerc 3,Nuseni,Negre,Da,3
01,Salaj,Cerc 3,Nusfalau,Negre,Da,89
01,Pest,Resedinta,Nyáregyháza,Negre,Da,6
01,Borsod-Abaúj-Zemplén,Resedinta,Nyékládháza,Negre,Da,4
01,Komárom-Esztergom,Resedinta,Nyergesújfalu,Negre,Da,6
01,Hajdú-Bihar,Resedinta,Nyírábrány,Negre,Da,2
01,Veszprém,Resedinta,Nyirád,Negre,Da,3
01,Hajdú-Bihar,Resedinta,Nyíradony,Negre,Da,1
01,Szabolcs-Szatmár-Bereg,Resedinta,Nyírbátor,Negre,Da,12
01,Szabolcs-Szatmár-Bereg,Resedinta,Nyírbéltek,Negre,Da,2
01,Szabolcs-Szatmár-Bereg,Resedinta,Nyírbogát,Negre,Da,1
01,Szabolcs-Szatmár-Bereg,Resedinta,Nyíregyháza,Negre,Da,86
01,Szabolcs-Szatmár-Bereg,Resedinta,"Nyíregyháza, Nyírszolos",Negre,Da,3
01,Szabolcs-Szatmár-Bereg,Resedinta,Nyírgelse,Negre,Da,1
01,Szabolcs-Szatmár-Bereg,Resedinta,Nyírjákó,Negre,Da,1
01,Szabolcs-Szatmár-Bereg,Resedinta,Nyírlugos,Negre,Da,1
01,Szabolcs-Szatmár-Bereg,Resedinta,Nyírmada,Negre,Da,2
01,Szabolcs-Szatmár-Bereg,Resedinta,Nyírtelek,Negre,Da,1
01,Borsod-Abaúj-Zemplén,Resedinta,Nyomár,Negre,Da,1
01,Győr-Moson-Sopron,Resedinta,Nyúl,Negre,Da,1
01,Galati,Cerc 1,Oancea,Negre,Da,8
01,Braila,Cerc 1,Oancea,Negre,Da,1
01,Neamt,Cerc 1,Oantu,Negre,Da,5
01,Satu Mare,Cerc 1,Oar,Negre,Da,3
01,Mures,Cerc 1,Oarba de Mures,Negre,Da,1
01,Alba,Cerc 1,Oarda,Negre,Da,8
01,Arges,Cerc 1,Oarja,Negre,Da,16
01,Maramures,Cerc 3,Oarta de Jos,Negre,Da,3
01,Maramures,Cerc 3,Oarta de Sus,Negre,Da,3
01,Timis,Cerc 3,Obad,Negre,Da,4
01,Hunedoara,Cerc 3,Obarsa,Negre,Da,1
01,Vaslui,Cerc 3,Obarseni,Negre,Da,3
01,Vaslui,Cerc 3,Obarsenii Lingurari,Negre,Da,7
01,Olt,Cerc 1,Obarsia,Negre,Da,10
01,Arad,Cerc 3,Obarsia,Negre,Da,3
01,Bacau,Cerc 1,Obarsia,Negre,Da,1
01,Gorj,Cerc 3,Obarsia,Negre,Da,1
01,Valcea,Cerc 3,Obarsia,Negre,Da,1
01,Mehedinti,Cerc 3,Obarsia de Camp,Negre,Da,10
01,Olt,Cerc 1,Obarsia Noua,Negre,Da,3
01,Mehedinti,Cerc 3,Obarsia-Closani,Negre,Da,9
01,Suceava,Cerc 1,Obcina Ursului,Negre,Da,1
01,Giurgiu,Cerc 1,Obedeni,Negre,Da,4
01,Olt,Cerc 1,Oboga,Negre,Da,7
01,Iasi,Cerc 1,Oboroceni,Negre,Da,3
01,Caras-Severin,Cerc 3,Obreja,Negre,Da,6
01,Alba,Cerc 1,Obreja,Negre,Da,2
01,Gorj,Cerc 1,Obreja,Negre,Da,2
01,Vrancea,Cerc 1,Obrejita,Negre,Da,6
01,Iasi,Cerc 1,Obrijeni,Negre,Da,1
01,Bacau,Cerc 3,Ocheni,Negre,Da,1
01,Vrancea,Cerc 3,Ochesesti,Negre,Da,9
01,Prahova,Cerc 3,Ocina de Jos,Negre,Da,1
01,Prahova,Cerc 3,Ocina de Sus,Negre,Da,1
01,Olt,Cerc 1,Ociogi,Negre,Da,2
01,Hunedoara,Cerc 3,Ocisor,Negre,Da,1
01,Hunedoara,Cerc 3,Ociu,Negre,Da,1
01,Harghita,Cerc 3,Ocland,Negre,Da,2
01,Caras-Severin,Cerc 1,Ocna de Fier,Negre,Da,4
01,Harghita,Cerc 3,Ocna de Jos,Negre,Da,4
01,Harghita,Cerc 3,Ocna de Sus,Negre,Da,5
01,Cluj,Cerc 1,Ocna Dejului,Negre,Da,29
01,Alba,Cerc 3,Ocna Mures,Negre,Da,214
01,Sibiu,Cerc 1,Ocna Sibiului,Negre,Da,63
01,Maramures,Cerc 3,Ocna Sugatag,Negre,Da,13
01,Valcea,Cerc 1,Ocnele Mari,Negre,Da,7
01,Dambovita,Cerc 1,Ocnita,Negre,Da,54
01,Bistrita-Nasaud,Cerc 3,Ocnita,Negre,Da,3
01,Valcea,Cerc 1,Ocnita,Negre,Da,1
01,Maramures,Cerc 1,Ocolis,Negre,Da,1
01,Alba,Cerc 3,Ocolis,Negre,Da,1
01,Hunedoara,Cerc 3,Ocolisu Mic,Negre,Da,2
01,Dolj,Cerc 1,Ocolna,Negre,Da,1
01,Pest,Resedinta,Ócsa,Negre,Da,10
01,Jász-Nagykun-Szolnok,Resedinta,Öcsöd,Negre,Da,1
01,Buzau,Cerc 1,Odaia Banului,Negre,Da,1
01,Vaslui,Cerc 3,Odaia Bogdana,Negre,Da,1
01,Vaslui,Cerc 1,Odaia Bursucani,Negre,Da,3
01,Galati,Cerc 1,Odaia Manolache,Negre,Da,6
01,Dambovita,Cerc 1,Odaia Turcului,Negre,Da,2
01,Braila,Cerc 3,Odaieni,Negre,Da,1
01,Bucuresti & Ilfov,Resedinta,Odaile,Negre,Da,22
01,Prahova,Cerc 1,Odaile,Negre,Da,1
01,Buzau,Cerc 3,Odaile,Negre,Da,1
01,Teleorman,Cerc 1,Odobeasca,Negre,Da,3
01,Vrancea,Cerc 1,Odobesti,Negre,Da,159
01,Dambovita,Cerc 1,Odobesti,Negre,Da,62
01,Bacau,Cerc 1,Odobesti,Negre,Da,3
01,Satu Mare,Cerc 1,Odoreu,Negre,Da,63
01,Harghita,Cerc 1,Odorheiu Secuiesc,Negre,Da,798
01,Mures,Cerc 1,Odrihei,Negre,Da,1
01,Arad,Cerc 3,Odvos,Negre,Da,6
01,Arges,Cerc 3,Oestii Pamanteni,Negre,Da,6
01,Arges,Cerc 3,Oestii Ungureni,Negre,Da,5
01,Timis,Cerc 3,Ofsenita,Negre,Da,1
01,Bihor,Cerc 3,Ogesti,Negre,Da,2
01,Neamt,Cerc 1,Oglinzi,Negre,Da,25
01,Calarasi,Cerc 1,Ogoru,Negre,Da,4
01,Mures,Cerc 1,Ogra,Negre,Da,9
01,Ialomita,Cerc 1,Ograda,Negre,Da,19
01,Buzau,Cerc 1,Ograzile,Negre,Da,5
01,Prahova,Cerc 1,Ogretin,Negre,Da,5
01,Arges,Cerc 1,Ogrezea,Negre,Da,1
01,Giurgiu,Cerc 1,Ogrezeni,Negre,Da,95
01,Brasov,Cerc 3,Ohaba,Negre,Da,2
01,Hunedoara,Cerc 3,Ohaba,Negre,Da,1
01,Hunedoara,Cerc 3,Ohaba de sub Piatra,Negre,Da,1
01,Timis,Cerc 1,Ohaba-Forgaci,Negre,Da,3
01,Gorj,Cerc 3,Ohaba-Jiu,Negre,Da,1
01,Hunedoara,Cerc 3,Ohaba-Ponor,Negre,Da,1
01,Hunedoara,Cerc 3,Ohaba-Sibisel,Negre,Da,1
01,Zala,Resedinta,Óhíd,Negre,Da,1
01,Alba,Cerc 1,Oiejdea,Negre,Da,2
01,Giurgiu,Cerc 1,Oinacu,Negre,Da,5
01,Bacau,Cerc 3,Oituz,Negre,Da,73
01,Constanta,Cerc 1,Oituz,Negre,Da,7
01,Covasna,Cerc 3,Oituz,Negre,Da,1
01,Covasna,Cerc 1,Ojdula,Negre,Da,10
01,Békés,Resedinta,Okány,Negre,Da,1
01,Baranya,Resedinta,Okorág,Negre,Da,1
01,Braila,Cerc 1,Olaneasca,Negre,Da,1
01,Valcea,Cerc 1,Olanesti,Negre,Da,1
01,Valcea,Cerc 1,Olanu,Negre,Da,7
01,Arad,Cerc 3,Olari,Negre,Da,6
01,Prahova,Cerc 3,Olari,Negre,Da,5
01,Olt,Cerc 1,Olari,Negre,Da,3
01,Buzau,Cerc 1,Olari,Negre,Da,2
01,Gorj,Cerc 1,Olari,Negre,Da,1
01,Prahova,Cerc 1,Olarii Vechi,Negre,Da,2
01,Baranya,Resedinta,Olasz,Negre,Da,1
01,Bihor,Cerc 1,Olcea,Negre,Da,4
01,Szabolcs-Szatmár-Bereg,Resedinta,Olcsva,Negre,Da,1
01,Baranya,Resedinta,Old,Negre,Da,1
01,Vas,Resedinta,Ólmod,Negre,Da,1
01,Prahova,Cerc 1,Ologeni,Negre,Da,5
01,Timis,Cerc 1,Olosag,Negre,Da,2
01,Teleorman,Cerc 3,Olteanca,Negre,Da,3
01,Valcea,Cerc 3,Olteanca,Negre,Da,2
01,Gorj,Cerc 1,Olteanu,Negre,Da,2
01,Vaslui,Cerc 1,Oltenesti,Negre,Da,2
01,Bucuresti & Ilfov,Resedinta,Olteni,Negre,Da,79
01,Teleorman,Cerc 1,Olteni,Negre,Da,8
01,Covasna,Cerc 1,Olteni,Negre,Da,2
01,Dambovita,Cerc 1,Olteni,Negre,Da,1
01,Prahova,Cerc 1,Olteni,Negre,Da,1
01,Valcea,Cerc 1,Olteni,Negre,Da,1
01,Vrancea,Cerc 1,Olteni,Negre,Da,1
01,Calarasi,Cerc 3,Oltenita,Negre,Da,453
01,Brasov,Cerc 3,Oltet,Negre,Da,1
01,Valcea,Cerc 3,Oltetani,Negre,Da,2
01,Constanta,Cerc 3,Oltina,Negre,Da,15
01,Calarasi,Cerc 1,Oltina,Negre,Da,1
01,Olt,Cerc 1,Oltisoru,Negre,Da,1
01,Maramures,Cerc 3,Oncesti,Negre,Da,9
01,Bacau,Cerc 1,Oncesti,Negre,Da,3
01,Dambovita,Cerc 1,Oncesti,Negre,Da,1
01,Giurgiu,Cerc 1,Oncesti,Negre,Da,1
01,Botosani,Cerc 1,Oneaga,Negre,Da,4
01,Bacau,Cerc 2,Onesti,Negre,Da,916
01,Iasi,Cerc 1,Onesti,Negre,Da,1
01,Borsod-Abaúj-Zemplén,Resedinta,Onga,Negre,Da,1
01,Neamt,Cerc 1,Oniceni,Negre,Da,4
01,Suceava,Cerc 3,Oniceni,Negre,Da,1
01,Bacau,Cerc 1,Oniscani,Negre,Da,3
01,Timis,Cerc 3,Opatita,Negre,Da,5
01,Olt,Cerc 1,Oporelu,Negre,Da,4
01,Mehedinti,Cerc 1,Opranesti,Negre,Da,3
01,Arges,Cerc 1,Opresti,Negre,Da,3
01,Braila,Cerc 3,Oprisenesti,Negre,Da,2
01,Iasi,Cerc 1,Opriseni,Negre,Da,6
01,Vaslui,Cerc 1,Oprisita,Negre,Da,3
01,Mehedinti,Cerc 3,Oprisor,Negre,Da,12
01,Iasi,Cerc 1,Oproaia,Negre,Da,2
01,Olt,Cerc 1,Optasi,Negre,Da,1
01,Olt,Cerc 1,Optasi-Magura,Negre,Da,4
01,Csongrád-Csanád,Resedinta,Ópusztaszer,Negre,Da,1
01,Szabolcs-Szatmár-Bereg,Resedinta,Or,Negre,Da,1
01,Bihor,Resedinta,Oradea,Negre,Da,"5,968"
01,Bacau,Cerc 1,Orasa,Negre,Da,2
01,Harghita,Cerc 3,Oraseni,Negre,Da,1
01,Botosani,Cerc 1,Oraseni-Deal,Negre,Da,3
01,Botosani,Cerc 1,Oraseni-Vale,Negre,Da,1
01,Calarasi,Cerc 1,Orasti,Negre,Da,1
01,Hunedoara,Cerc 1,Orastie,Negre,Da,416
01,Hunedoara,Cerc 3,Orastioara de Jos,Negre,Da,1
01,Hunedoara,Cerc 3,Orastioara de Sus,Negre,Da,2
01,Satu Mare,Cerc 3,Orasu Nou,Negre,Da,8
01,Satu Mare,Cerc 3,Orasu Nou-VII,Negre,Da,1
01,Buzau,Cerc 1,Oratia,Negre,Da,3
01,Caras-Severin,Cerc 3,Oravita,Negre,Da,240
01,Teleorman,Cerc 1,Orbeasca de Jos,Negre,Da,46
01,Teleorman,Cerc 1,Orbeasca de Sus,Negre,Da,14
01,Bacau,Cerc 1,Orbeni,Negre,Da,11
01,Ialomita,Cerc 1,Orboesti,Negre,Da,2
01,Pest,Resedinta,Orbottyán,Negre,Da,7
01,Bucuresti & Ilfov,Cerc 1,Ordoreanu,Negre,Da,6
01,Vrancea,Cerc 1,Oreavu,Negre,Da,1
01,Buzau,Cerc 1,Oreavul,Negre,Da,5
01,Somogy,Resedinta,Öreglak,Negre,Da,3
01,Mehedinti,Cerc 3,Orevita Mare,Negre,Da,2
01,Ialomita,Cerc 1,Orezu,Negre,Da,4
01,Vaslui,Cerc 3,Orgoiesti,Negre,Da,1
01,Bács-Kiskun,Resedinta,Orgovány,Negre,Da,3
01,Bistrita-Nasaud,Cerc 1,Orheiu Bistritei,Negre,Da,5
01,Pest,Resedinta,Örkény,Negre,Da,3
01,Sibiu,Cerc 1,Orlat,Negre,Da,25
01,Olt,Cerc 3,Orlea,Negre,Da,7
01,Olt,Cerc 3,Orlea Noua,Negre,Da,3
01,Valcea,Cerc 1,Orlesti,Negre,Da,8
01,Cluj,Cerc 1,Orman,Negre,Da,3
01,Brasov,Cerc 3,Ormenis,Negre,Da,4
01,Mures,Cerc 1,Ormenis,Negre,Da,3
01,Dolj,Cerc 3,Orodel,Negre,Da,8
01,Arges,Cerc 3,Orodel,Negre,Da,1
01,Botosani,Cerc 1,Oroftiana,Negre,Da,6
01,Mures,Cerc 1,Oroiu,Negre,Da,1
01,Bistrita-Nasaud,Cerc 3,Orosfaia,Negre,Da,2
01,Békés,Resedinta,Orosháza,Negre,Da,17
01,Komárom-Esztergom,Resedinta,Oroszlány,Negre,Da,23
01,Mehedinti,Cerc 1,Orsova,Negre,Da,169
01,Mures,Cerc 1,Orsova,Negre,Da,2
01,Mures,Cerc 1,Orsova-Padure,Negre,Da,2
01,Neamt,Cerc 1,Ortasti,Negre,Da,1
01,Salaj,Cerc 1,Ortelec,Negre,Da,3
01,Timis,Cerc 1,Ortisoara,Negre,Da,46
01,Bihor,Cerc 1,Ortiteag,Negre,Da,6
01,Bihor,Cerc 1,Orvisele,Negre,Da,1
01,Iasi,Cerc 1,Orzeni,Negre,Da,1
01,Bihor,Cerc 1,Osand,Negre,Da,1
01,Bacau,Cerc 1,Osebiti,Negre,Da,2
01,Vaslui,Cerc 1,Osesti,Negre,Da,3
01,Veszprém,Resedinta,Osi,Negre,Da,1
01,Olt,Cerc 1,Osica de Jos,Negre,Da,6
01,Olt,Cerc 1,Osica de Sus,Negre,Da,44
01,Veszprém,Resedinta,Öskü,Negre,Da,1
01,Neamt,Cerc 1,Oslobeni,Negre,Da,3
01,Constanta,Cerc 3,Osmancea,Negre,Da,3
01,Iasi,Cerc 1,Osoi,Negre,Da,13
01,Suceava,Cerc 1,Osoi,Negre,Da,1
01,Bihor,Cerc 1,Osorhei,Negre,Da,142
01,Suceava,Cerc 3,Ostra,Negre,Da,22
01,Bucuresti & Ilfov,Resedinta,Ostratu,Negre,Da,88
01,Constanta,Cerc 3,Ostrov,Negre,Da,14
01,Tulcea,Cerc 3,Ostrov,Negre,Da,13
01,Arad,Cerc 3,Ostrov,Negre,Da,1
01,Hunedoara,Cerc 3,Ostrovel,Negre,Da,1
01,Dolj,Cerc 3,Ostroveni,Negre,Da,5
01,Valcea,Cerc 1,Ostroveni,Negre,Da,4
01,Mehedinti,Cerc 3,Ostrovu Mare,Negre,Da,1
01,Borsod-Abaúj-Zemplén,Resedinta,Oszlár,Negre,Da,1
01,Timis,Cerc 3,Otelec,Negre,Da,6
01,Iasi,Cerc 1,Oteleni,Negre,Da,23
01,Vaslui,Cerc 3,Oteleni,Negre,Da,1
01,Caras-Severin,Cerc 3,Otelu Rosu,Negre,Da,215
01,Valcea,Cerc 3,Otesani,Negre,Da,5
01,Olt,Cerc 1,Otestii de Jos,Negre,Da,2
01,Valcea,Cerc 3,Otetelisu,Negre,Da,2
01,Vaslui,Cerc 3,Otetoaia,Negre,Da,8
01,Bihor,Cerc 3,Otomani,Negre,Da,2
01,Bucuresti & Ilfov,Resedinta,Otopeni,Negre,Da,"2,178"
01,Győr-Moson-Sopron,Resedinta,Öttevény,Negre,Da,1
01,Timis,Cerc 1,Otvesti,Negre,Da,2
01,Valcea,Cerc 3,Oveselu,Negre,Da,1
01,Constanta,Cerc 1,Ovidiu,Negre,Da,341
01,Mures,Cerc 3,Ozd,Negre,Da,1
01,Borsod-Abaúj-Zemplén,Resedinta,Ózd,Negre,Da,18
01,Tolna,Resedinta,Ozora,Negre,Da,1
01,Covasna,Cerc 1,Ozun,Negre,Da,14
01,Borsod-Abaúj-Zemplén,Resedinta,Pácin,Negre,Da,1
01,Arges,Cerc 1,Pacioiu,Negre,Da,1
01,Alba,Cerc 1,Paclisa,Negre,Da,4
01,Hunedoara,Cerc 3,Paclisa,Negre,Da,2
01,Zala,Resedinta,Pacsa,Negre,Da,1
01,Prahova,Cerc 3,Pacureti,Negre,Da,5
01,Dolj,Cerc 3,Padea,Negre,Da,2
01,Gorj,Cerc 3,Pades,Negre,Da,13
01,Buzau,Cerc 3,Padina,Negre,Da,15
01,Mehedinti,Cerc 3,Padina,Negre,Da,1
01,Mehedinti,Cerc 3,Padina Mare,Negre,Da,1
01,Caras-Severin,Cerc 3,Padina Matei,Negre,Da,5
01,Alba,Cerc 1,Padure,Negre,Da,1
01,Alba,Cerc 1,Padurea,Negre,Da,2
01,Giurgiu,Cerc 1,Padureni,Negre,Da,15
01,Timis,Cerc 1,Padureni,Negre,Da,10
01,Vrancea,Cerc 1,Padureni,Negre,Da,5
01,Botosani,Cerc 1,Padureni,Negre,Da,3
01,Vaslui,Cerc 1,Padureni,Negre,Da,3
01,Constanta,Cerc 3,Padureni,Negre,Da,3
01,Bacau,Cerc 1,Padureni,Negre,Da,2
01,Arges,Cerc 1,Padureni,Negre,Da,1
01,Covasna,Cerc 1,Padureni,Negre,Da,1
01,Vaslui,Cerc 3,Padureni,Negre,Da,1
01,Cluj,Cerc 1,Padurenii,Negre,Da,9
01,Buzau,Cerc 3,Padurenii,Negre,Da,5
01,Calarasi,Cerc 1,Padurisu,Negre,Da,4
01,Arges,Cerc 1,Paduroiu din Deal,Negre,Da,6
01,Bihor,Cerc 3,Pagaia,Negre,Da,3
01,Cluj,Cerc 1,Paglisa,Negre,Da,1
01,Bacau,Cerc 3,Pagubeni,Negre,Da,1
01,Vaslui,Cerc 3,Pahnesti,Negre,Da,1
01,Calarasi,Cerc 3,Paicu,Negre,Da,1
01,Mures,Cerc 1,Paingeni,Negre,Da,3
01,Gorj,Cerc 3,Paisani,Negre,Da,1
01,Suceava,Cerc 1,Paiseni,Negre,Da,4
01,Arad,Cerc 3,Paiuseni,Negre,Da,2
01,Fejér,Resedinta,Pákozd,Negre,Da,2
01,Tolna,Resedinta,Paks,Negre,Da,10
01,Giurgiu,Cerc 1,Palanca,Negre,Da,22
01,Bacau,Cerc 3,Palanca,Negre,Da,13
01,Prahova,Cerc 1,Palanca,Negre,Da,7
01,Arges,Cerc 3,Palanga,Negre,Da,1
01,Cluj,Cerc 1,Palatca,Negre,Da,1
01,Constanta,Cerc 1,Palazu Mare,Negre,Da,420
01,Constanta,Cerc 1,Palazu Mic,Negre,Da,3
01,Bihor,Cerc 1,Paleu,Negre,Da,2
01,Buzau,Cerc 3,Palici,Negre,Da,3
01,Dolj,Cerc 1,Palilula,Negre,Da,2
01,Bács-Kiskun,Resedinta,Pálmonostora,Negre,Da,1
01,Bihor,Cerc 1,Palota,Negre,Da,2
01,Vrancea,Cerc 3,Paltin,Negre,Da,6
01,Bistrita-Nasaud,Cerc 3,Paltineasa,Negre,Da,1
01,Buzau,Cerc 1,Paltineni,Negre,Da,3
01,Botosani,Cerc 3,Paltinis,Negre,Da,7
01,Caras-Severin,Cerc 1,Paltinis,Negre,Da,6
01,Buzau,Cerc 3,Paltinis,Negre,Da,3
01,Bacau,Cerc 3,Paltinis,Negre,Da,2
01,Vaslui,Cerc 3,Paltinis,Negre,Da,1
01,Harghita,Cerc 1,Paltinis-Ciuc,Negre,Da,1
01,Ialomita,Cerc 1,Paltinisu,Negre,Da,7
01,Suceava,Cerc 1,Paltinoasa,Negre,Da,48
01,Suceava,Cerc 1,Paltinu,Negre,Da,6
01,Suceava,Cerc 3,Panaci,Negre,Da,11
01,Alba,Cerc 3,Panade,Negre,Da,4
01,Buzau,Cerc 3,Panatau,Negre,Da,9
01,Alba,Cerc 1,Panca,Negre,Da,1
01,Neamt,Cerc 1,Pancesti,Negre,Da,6
01,Bacau,Cerc 1,Pancesti,Negre,Da,5
01,Vrancea,Cerc 1,Panciu,Negre,Da,178
01,Arad,Cerc 1,Pancota,Negre,Da,124
01,Tulcea,Cerc 3,Panduru,Negre,Da,1
01,Mures,Cerc 1,Panet,Negre,Da,4
01,Neamt,Cerc 1,Pangaracior,Negre,Da,2
01,Neamt,Cerc 1,Pangarati,Negre,Da,11
01,Salaj,Cerc 1,Panic,Negre,Da,6
01,Cluj,Cerc 1,Paniceni,Negre,Da,3
01,Timis,Cerc 1,Paniova,Negre,Da,1
01,Győr-Moson-Sopron,Resedinta,Pannonhalma,Negre,Da,11
01,Prahova,Cerc 1,Pantazi,Negre,Da,7
01,Bucuresti & Ilfov,Resedinta,Pantelimon,Negre,Da,"1,422"
01,Constanta,Cerc 3,Pantelimon,Negre,Da,3
01,Cluj,Cerc 1,Panticeu,Negre,Da,7
01,Veszprém,Resedinta,Pápa,Negre,Da,26
01,Veszprém,Resedinta,Pápasalamon,Negre,Da,1
01,Covasna,Cerc 1,Papauti,Negre,Da,7
01,Mures,Cerc 3,Papiu Ilarian,Negre,Da,7
01,Veszprém,Resedinta,Papkeszi,Negre,Da,1
01,Heves,Resedinta,Parád,Negre,Da,1
01,Suceava,Cerc 1,Paraie,Negre,Da,7
01,Valcea,Cerc 3,Paraienii de Jos,Negre,Da,7
01,Valcea,Cerc 3,Paraienii de Mijloc,Negre,Da,2
01,Arges,Cerc 1,Paraschivesti,Negre,Da,3
01,Brasov,Cerc 3,Parau,Negre,Da,4
01,Gorj,Cerc 1,Parau Boia,Negre,Da,1
01,Mures,Cerc 3,Parau Crucii,Negre,Da,1
01,Gorj,Cerc 1,Parau de Pripor,Negre,Da,2
01,Gorj,Cerc 1,Parau de Vale,Negre,Da,1
01,Botosani,Cerc 1,Parau Negru,Negre,Da,1
01,Neamt,Cerc 3,Paraul Carjei,Negre,Da,1
01,Neamt,Cerc 3,Paraul Fagului,Negre,Da,1
01,Neamt,Cerc 3,Paraul Mare,Negre,Da,1
01,Neamt,Cerc 3,Paraul Pantei,Negre,Da,1
01,Bacau,Cerc 1,Parava,Negre,Da,5
01,Tulcea,Cerc 1,Parches,Negre,Da,3
