Month,Judet Destinatar OPS,Categorie Cerc Livrare,Localitate Destinatar,Tip Trimitere,Colet eligibil locker,Nr Total AWB
01,Braila,Cerc 1,Albina,Negre,Da,1
01,Covasna,Cerc 1,Albis,Negre,Da,2
01,Bihor,Cerc 3,Albis,Negre,Da,2
01,Arges,Cerc 1,Albota,Negre,Da,73
01,Arges,Cerc 1,Albotele,Negre,Da,2
01,Mehedinti,Cerc 3,Albulesti,Negre,Da,3
01,Fejér,Resedinta,Alcsútdoboz,Negre,Da,1
01,Harghita,Cerc 3,Aldea,Negre,Da,2
01,Buzau,Cerc 1,Aldeni,Negre,Da,3
01,Arad,Cerc 3,Aldesti,Negre,Da,3
01,Galati,Cerc 3,Aldesti,Negre,Da,3
01,Valcea,Cerc 1,Aldesti,Negre,Da,1
01,Bihor,Resedinta,Alesd,Negre,Da,271
01,Teleorman,Resedinta,Alexandria,Negre,Da,"1,168"
01,Harghita,Cerc 3,Alexandrita,Negre,Da,1
01,Neamt,Cerc 1,Alexandru cel Bun,Negre,Da,22
01,Iasi,Cerc 1,Alexandru cel Bun,Negre,Da,2
01,Iasi,Cerc 3,Alexandru Ioan Cuza,Negre,Da,9
01,Calarasi,Cerc 1,Alexandru Odobescu,Negre,Da,10
01,Buzau,Cerc 3,Alexandru Odobescu,Negre,Da,2
01,Vaslui,Cerc 3,Alexandru Vlahuta,Negre,Da,3
01,Ialomita,Cerc 3,Alexeni,Negre,Da,12
01,Iasi,Cerc 1,Alexeni,Negre,Da,2
01,Csongrád-Csanád,Resedinta,Algyo,Negre,Da,1
01,Buzau,Cerc 1,Aliceni,Negre,Da,3
01,Constanta,Cerc 3,Aliman,Negre,Da,10
01,Olt,Cerc 1,Alimanesti,Negre,Da,23
01,Gorj,Cerc 3,Alimpesti,Negre,Da,6
01,Timis,Cerc 3,Alios,Negre,Da,3
01,Sibiu,Cerc 1,Alma,Negre,Da,7
01,Sibiu,Cerc 1,Alma Vii,Negre,Da,1
01,Dolj,Cerc 1,Almaj,Negre,Da,4
01,Mehedinti,Cerc 3,Almajel,Negre,Da,1
01,Constanta,Cerc 3,Almalau,Negre,Da,7
01,Arad,Cerc 3,Almas,Negre,Da,9
01,Neamt,Cerc 1,Almas,Negre,Da,2
01,Komárom-Esztergom,Resedinta,Almásfüzito,Negre,Da,1
01,Salaj,Cerc 3,Almasu,Negre,Da,6
01,Alba,Cerc 3,Almasu Mare,Negre,Da,1
01,Bihor,Cerc 3,Almasu Mare,Negre,Da,1
01,Bihor,Cerc 1,Almasu Mic,Negre,Da,3
01,Bihor,Cerc 1,Alparea,Negre,Da,7
01,Somogy,Resedinta,Alsóbogát,Negre,Da,1
01,Pest,Resedinta,Alsónémedi,Negre,Da,4
01,Borsod-Abaúj-Zemplén,Resedinta,Alsózsolca,Negre,Da,3
01,Sibiu,Cerc 3,Altina,Negre,Da,3
01,Timis,Cerc 3,Altringen,Negre,Da,1
01,Covasna,Cerc 1,Alungeni,Negre,Da,2
01,Prahova,Cerc 3,Alunis,Negre,Da,10
01,Mures,Cerc 1,Alunis,Negre,Da,8
01,Salaj,Cerc 1,Alunis,Negre,Da,3
01,Cluj,Cerc 1,Alunis,Negre,Da,2
01,Arad,Cerc 1,Alunis,Negre,Da,1
01,Bucuresti & Ilfov,Resedinta,Alunisu,Negre,Da,2
01,Cluj,Cerc 1,Alunisu,Negre,Da,1
