Judet,Localitate,Populatie 
ARGES,CORBENI,5255
ARGES,CORBI,3420
ARGES,CO?E?TI,5046
ARGES,COTMEANA,1849
ARGES,CUCA,1837
ARGES,DÂMBOVICIOARA,815
ARGES,DÂRMANE?TI,3307
ARGES,DAVIDE?TI,3029
ARGES,DOBRE?TI,1650
ARGES,DOMNE?TI,3142
ARGES,DRAGANU,1972
ARGES,DRAGOSLAVELE,2474
ARGES,GODENI,2535
ARGES,HÂRSE?TI,2067
ARGES,HÂRTIE?TI,2216
ARGES,IZVORU,2031
ARGES,LEORDENI,5169
ARGES,LERE?TI,4124
ARGES,LUNCA CORBULUI,2485
ARGES,MALURENI,4469
ARGES,MARACINENI,5322
ARGES,MERI?ANI,4510
ARGES,MICE?TI,4610
ARGES,MIHAE?TI,5726
ARGES,MIOARELE,1442
ARGES,MIRO?I,1949
ARGES,MORARE?TI,1739
ARGES,MO?OAIA,7883
ARGES,MOZACENI,1912
ARGES,MU?ATE?TI,3240
ARGES,NEGRA?I,1911
ARGES,NUC?OARA,1222
ARGES,OARJA,2692
ARGES,PIETRO?ANI,5320
ARGES,POIANA LACULUI,6136
ARGES,POIENARII DE ARGE?,923
ARGES,POIENARII DE MUSCEL,2928
ARGES,POPE?TI,1600
ARGES,PRIBOIENI,3274
ARGES,RÂCA,951
ARGES,RATE?TI,2779
ARGES,RECEA,2430
ARGES,ROCIU,2298
ARGES,RUCAR,5259
ARGES,SALATRUCU,1971
ARGES,SAPATA,1513
ARGES,SCHITU GOLE?TI,4683
ARGES,SLOBOZIA,4209
ARGES,STÂLPENI,4418
ARGES,?TEFAN CEL MARE,2103
ARGES,STOENE?TI,3895
ARGES,STOLNICI,2860
ARGES,?UICI,2025
ARGES,SUSENI,3154
ARGES,TEIU,1276
ARGES,TIGVENI,3197
ARGES,?I?E?TI,5232
ARGES,UDA,1700
ARGES,UNGHENI,2349
ARGES,VALEA DANULUI,2789
ARGES,VALEA IA?ULUI,2436
ARGES,VALEA MARE PRAVA?,4011
ARGES,VEDEA,3459
ARGES,VLADE?TI,2978
,VULTURE?TI,2773
,BACAU,601387
BACAU,MUNICIPIUL BACAU,136087
BACAU,MUNICIPIUL MOINE?TI,19728
BACAU,MUNICIPIUL ONE?TI,34005
BACAU,ORA? BUHU?I,14152
BACAU,ORA? COMANE?TI,19996
BACAU,ORA? DARMANE?TI,13069
BACAU,ORA? SLANIC-MOLDOVA,4011
BACAU,ORA? TÂRGU OCNA,10410
BACAU,AGA?,5247
BACAU,ARDEOANI,2093
BACAU,ASAU,5475
BACAU,BALCANI,6742
BACAU,BÂRSANE?TI,4258
BACAU,BERE?TI-BISTRI?A,2175
BACAU,BERE?TI-TAZLAU,5337
BACAU,BERZUN?I,4637
BACAU,BLAGE?TI,6815
BACAU,BOGDANE?TI,2399
BACAU,BRUSTUROASA,3120
BACAU,BUCIUMI,3265
BACAU,BUHOCI,4437
BACAU,CAIU?I,4766
BACAU,CA?IN,3586
BACAU,CLEJA,5320
BACAU,COLONE?TI,2015
BACAU,CORBASCA,4811
BACAU,CO?OFANE?TI,3306
BACAU,DAMIENE?TI,1614
BACAU,DEALU MORII,2549
BACAU,DOFTEANA,10236
BACAU,FARAOANI,5200
BACAU,FILIPENI,2132
BACAU,FILIPE?TI,4275
BACAU,GAICEANA,2467
BACAU,GÂRLENI,6081
BACAU,GHIME?-FAGET,4928
BACAU,GIOSENI,3427
BACAU,GLAVANE?TI,3001
BACAU,GURA VAII,4221
BACAU,HELEGIU,5934
BACAU,HEMEIU?,6523
BACAU,HORGE?TI,5267
BACAU,HURUIE?TI,2029
BACAU,ITE?TI,1374
BACAU,IZVORU BERHECIULUI,1606
BACAU,LETEA VECHE,6799
BACAU,LIPOVA,2853
BACAU,LIVEZI,5094
BACAU,LUIZI-CALUGARA,4802
BACAU,MAGIRE?TI,3552
BACAU,MAGURA,5647
BACAU,MANASTIREA CA?IN,4922
BACAU,MARGINENI,9594
BACAU,MOTO?ENI,2905
BACAU,NEGRI,2516
BACAU,NICOLAE BALCESCU,8539
BACAU,ODOBE?TI,2295
BACAU,OITUZ,8701
BACAU,ONCE?TI,1406
BACAU,ORBENI,3605
BACAU,PALANCA,3065
BACAU,PÂNCE?TI,3652
BACAU,PARAVA,3267
BACAU,PÂRGARE?TI,3790
BACAU,PARINCEA,3372
BACAU,PÂRJOL,5555
BACAU,PLOPANA,2837
BACAU,PODU TURCULUI,4306
BACAU,PODURI,7367
BACAU,PRAJE?TI,2132
BACAU,RACACIUNI,7069
BACAU,RACHITOASA,4156
BACAU,RACOVA,3433
BACAU,RO?IORI,2006
BACAU,SANDULENI,4106
BACAU,SARATA,2257
BACAU,SASCUT,8085
BACAU,SAUCE?TI,5386
BACAU,SCOR?ENI,2469
BACAU,SECUIENI,2098
BACAU,SOLON?,3109
BACAU,STANI?E?TI,3945
BACAU,?TEFAN CEL MARE,5140
BACAU,STRUGARI,2307
BACAU,TAMA?I,2885
BACAU,TÂRGU TROTU?,5330
BACAU,TATARA?TI,1857
BACAU,TRAIAN,2512
